slug,title,category,score,risk_level,salary_low_usd,salary_high_usd,salary_trend,tasks_at_risk_count,tasks_growing_count,defense_skill_1,defense_skill_2,defense_skill_3,insight,score_q1_2025,score_q3_2025,score_q1_2026,score_q2_2026
software-engineer,Software Engineer,Technology,25,Low,110000,200000,rising,4,3,"AI-Assisted Development (Copilot, Cursor)",Prompt Engineering for Code Generation,AI System Design & Architecture,Software engineers who learn to direct AI coding tools are 2-3x more productive. The role is shifting from writing every line to orchestrating AI-generated code and owning architecture.,18,20,23,25
data-scientist,Data Scientist,Technology,20,Low,120000,190000,rising,4,3,LLM Fine-Tuning & Evaluation,AI Strategy & Business Translation,Advanced MLOps & Model Governance,"AutoML handles routine modeling, but data scientists who can frame problems, design experiments, and translate findings into business action are more in demand than ever.",14,16,18,20
devops-engineer,DevOps Engineer,Technology,30,Moderate,115000,185000,rising,4,3,AIOps and Intelligent Automation,Cloud Security & Zero Trust,Platform Engineering Leadership,"AI is automating routine DevOps tasks like pipeline configs and basic monitoring. Engineers who focus on platform strategy, security, and incident response will see their value grow.",22,25,28,30
qa-test-engineer,QA/Test Engineer,Technology,55,High,75000,130000,mixed,5,3,"AI-Powered Test Automation (Testim, Mabl)",ML Model Testing & Validation,Security Testing & Penetration Testing,"AI test generation tools can now write and maintain test suites faster than manual efforts. QA engineers should pivot toward AI output validation, security testing, and quality strategy.",40,45,50,55
it-support-specialist,IT Support Specialist,Technology,65,High,45000,75000,declining,5,3,Cybersecurity Fundamentals,AI Tool Administration,Cloud Platform Management,"AI chatbots and automated ticketing systems now resolve 40-60% of tier-1 support requests. IT specialists who move into security, cloud management, or AI tool administration will stay relevant.",50,55,60,65
web-developer,Web Developer,Technology,45,Moderate,70000,140000,stable,4,3,AI-Powered Development Tools,Full-Stack Architecture,AI/ML Integration in Web Apps,"AI can generate standard web pages and components quickly, but complex interactive applications, accessibility work, and AI-integrated features still need experienced developers.",30,35,40,45
ux-designer,UX Designer,Technology,35,Moderate,85000,150000,stable,4,3,AI Interaction & Conversational Design,User Research Methods,"AI Design Tools (Figma AI, Galileo)","AI can generate mockups and variations fast, but understanding user needs, designing for AI-human interaction, and strategic design thinking remain deeply human skills.",25,28,32,35
database-administrator,Database Administrator,Technology,50,Moderate,80000,140000,stable,4,3,Cloud Database Architecture (AWS/GCP),Data Security & Compliance,Vector Database Management,"Automated tuning and cloud-managed databases handle routine DBA tasks. Specialists in data architecture for AI workloads, vector databases, and security are increasingly sought after.",38,42,46,50
cybersecurity-analyst,Cybersecurity Analyst,Technology,20,Low,90000,165000,rising,4,3,AI Security & Adversarial ML,Threat Intelligence & Hunting,Cloud Security Architecture,"AI creates new attack surfaces faster than it automates defense. Security analysts who understand AI-specific threats — prompt injection, model poisoning, data exfiltration — are in high demand.",15,17,18,20
systems-administrator,Systems Administrator,Technology,55,High,65000,115000,declining,5,3,Cloud Architecture (AWS/Azure/GCP),Infrastructure as Code (Terraform),Security & Compliance Automation,"Cloud platforms and AI-driven automation are replacing traditional sysadmin tasks. Moving toward cloud architecture, security, or platform engineering is the strongest career path forward.",42,46,50,55
financial-analyst,Financial Analyst,Business & Finance,58,High,65000,120000,stable,5,3,AI-Powered Financial Modeling,Strategic Finance & Advisory,Data Science for Finance,"AI can build models and run analyses in minutes that used to take days. Analysts who focus on strategic interpretation, relationship management, and judgment calls under uncertainty will thrive.",45,50,54,58
accountant,Accountant,Business & Finance,62,High,55000,105000,stable,5,3,"AI Accounting Tools (Botkeeper, Vic.ai)",Tax Strategy & Advisory,Forensic Accounting & Fraud Analytics,"Routine bookkeeping and tax prep are rapidly automating. Accountants who move into advisory, complex tax strategy, or forensic specialization will see growing demand.",48,53,58,62
management-consultant,Management Consultant,Business & Finance,35,Moderate,90000,200000,rising,4,3,AI Strategy Consulting,AI-Powered Research & Analysis,Change Management for AI Adoption,"AI handles research and deck-building faster, but clients pay for judgment, relationships, and implementation support. Consultants who specialize in AI transformation are in peak demand.",25,28,32,35
business-analyst,Business Analyst,Business & Finance,48,Moderate,70000,120000,stable,4,3,AI Process Automation,Product Management Fundamentals,AI-Enhanced Business Intelligence,"AI can draft requirements and map simple processes, but understanding organizational politics, facilitating alignment across teams, and redesigning workflows around AI remain human strengths.",35,40,44,48
auditor,Auditor,Business & Finance,60,High,60000,115000,stable,5,3,AI & Algorithm Auditing,"Data Analytics for Audit (ACL, IDEA)",IT Audit & Cybersecurity Risk,"AI can test 100% of transactions instead of samples, reshaping audit work. Auditors who specialize in AI systems auditing, IT risk, and fraud analytics will find strong career growth.",45,50,55,60
insurance-underwriter,Insurance Underwriter,Business & Finance,68,High,55000,110000,mixed,5,3,AI Risk Modeling & Insurtech,Specialty Lines Underwriting,Data Analytics for Risk Assessment,"AI now handles most standard personal lines underwriting. The career path forward is in complex commercial risks, emerging categories like cyber insurance, and relationship-driven deal structuring.",52,58,63,68
tax-preparer,Tax Preparer,Business & Finance,72,High,40000,75000,declining,5,3,Advanced Tax Planning & Strategy,AI Tax Software Proficiency,Business Advisory Services,"AI tax software can now handle most individual returns with minimal human input. Tax professionals should specialize in complex situations — multi-state, international, or business tax planning.",58,63,68,72
loan-officer,Loan Officer,Business & Finance,65,High,45000,120000,mixed,5,3,Commercial Lending Expertise,Financial Advisory & Planning,Fintech & AI Lending Platforms,Online lenders and AI underwriting handle most standard loans now. Loan officers who build deep client relationships and master complex commercial lending remain valuable.,50,55,60,65
budget-analyst,Budget Analyst,Business & Finance,55,High,60000,100000,stable,4,3,AI Financial Planning Tools,Strategic Finance & FP&A,Data Visualization & Storytelling,"AI automates variance reporting and forecasting, but budget analysts who can advise leadership on resource strategy and facilitate cross-department negotiations add irreplaceable value.",40,45,50,55
compliance-officer,Compliance Officer,Business & Finance,45,Moderate,70000,135000,rising,4,3,AI Governance & Ethics Frameworks,RegTech & Compliance Automation,Risk Management Certification,"AI regulation is exploding — the EU AI Act, state-level laws, and industry standards all need human experts. Compliance officers who specialize in AI governance are entering a high-growth niche.",38,40,42,45
marketing-manager,Marketing Manager,Marketing & Sales,40,Moderate,75000,140000,stable,4,3,AI Marketing Automation,Marketing Analytics & Attribution,AI Content Strategy,"AI handles campaign execution and reporting, but marketing managers who own brand strategy, customer insight, and cross-channel orchestration are more needed as channels multiply.",30,33,37,40
social-media-manager,Social Media Manager,Marketing & Sales,52,High,50000,90000,stable,5,3,AI Content Creation Tools,Community Management & Strategy,Social Analytics & Attribution,"AI can generate posts and schedule content, but authentic community engagement, crisis management, and brand voice consistency still depend on human judgment and emotional intelligence.",38,42,48,52
seo-specialist,SEO Specialist,Marketing & Sales,58,High,55000,100000,mixed,5,3,AI Search Optimization (SGE/AIO),Technical SEO & Site Architecture,Content Strategy & Analytics,"AI tools automate keyword research and audits, and AI search is changing how people find content. SEO specialists who master AI search optimization and technical implementation will stay in demand.",42,48,53,58
copywriter,Copywriter,Marketing & Sales,65,High,45000,90000,declining,5,3,AI Writing Tool Mastery,Brand Strategy & Voice Architecture,Conversion Optimization,"AI writes adequate copy fast and cheap. Copywriters who survive will be those who create brand voice, craft high-stakes persuasive copy, and develop creative campaigns AI cannot replicate.",45,52,60,65
content-writer,Content Writer,Marketing & Sales,68,High,42000,85000,declining,5,3,AI-Assisted Content Production,Editorial Strategy & Voice,Subject Matter Expertise Development,"AI generates passable content at scale, crushing demand for generic writing. Content writers with deep subject expertise, original research ability, and editorial judgment will command premium rates.",48,55,62,68
sales-representative,Sales Representative,Marketing & Sales,38,Moderate,50000,130000,stable,4,3,"AI Sales Tools (Gong, Outreach, Clari)",Consultative Selling Methodology,Sales Analytics & Forecasting,"AI handles lead scoring and outreach automation, but complex B2B sales still depend on human trust, relationship-building, and the ability to understand nuanced client needs.",30,33,35,38
advertising-manager,Advertising Manager,Marketing & Sales,42,Moderate,70000,130000,stable,4,3,AI Ad Platforms & Optimization,Privacy-First Marketing Strategy,Creative Strategy & Direction,"AI optimizes bids and targeting automatically, but advertising managers who own creative strategy, manage privacy regulations, and orchestrate multi-channel campaigns remain essential.",32,35,38,42
market-research-analyst,Market Research Analyst,Marketing & Sales,55,High,55000,100000,stable,4,3,AI Analytics & Survey Tools,Qualitative Research Methods,Data Storytelling & Visualization,"AI processes survey data and tracks competitors faster than humans. Research analysts who excel at qualitative insight, asking the right questions, and translating data into strategy will thrive.",40,45,50,55
pr-specialist,PR Specialist,Marketing & Sales,45,Moderate,50000,95000,stable,4,3,AI Media Monitoring Tools,Crisis Communication Strategy,Digital PR & Content Marketing,"AI drafts releases and monitors coverage, but genuine media relationships, crisis management under pressure, and strategic narrative creation require human expertise and emotional intelligence.",35,38,42,45
email-marketing-specialist,Email Marketing Specialist,Marketing & Sales,60,High,50000,90000,mixed,5,3,"AI Email Platforms (Klaviyo, Braze)",Marketing Automation Architecture,Customer Lifecycle Strategy,"AI generates subject lines, segments audiences, and even writes email copy. Specialists who focus on lifecycle strategy, deliverability expertise, and revenue attribution will stay ahead.",42,48,55,60
administrative-assistant,Administrative Assistant,Administrative & Operations,78,Very High,35000,55000,declining,5,3,AI Productivity Tools (Microsoft 365 Copilot),Project Management Fundamentals,Executive Operations & Chief of Staff Skills,"AI scheduling assistants, email drafters, and meeting summarizers are replacing core admin tasks. Pivoting toward project coordination, operations management, or executive chief-of-staff roles is key.",62,68,74,78
data-entry-clerk,Data Entry Clerk,Administrative & Operations,88,Very High,28000,42000,declining,5,3,Data Analytics & Spreadsheet Automation,AI Tool Administration,Process Automation (RPA),"OCR, AI document processing, and automated data extraction have made manual data entry largely obsolete. Building skills in data analytics or process automation is the strongest path forward.",78,82,85,88
executive-assistant,Executive Assistant,Administrative & Operations,62,High,55000,95000,stable,5,3,AI Executive Productivity Tools,Project & Program Management,Business Operations Strategy,"AI handles scheduling and email, but executive assistants who function as strategic partners — managing confidential projects, preparing decision briefs, and handling stakeholder relationships — remain essential.",48,53,58,62
office-manager,Office Manager,Administrative & Operations,55,High,45000,75000,stable,5,3,Operations Management & Process Design,Workplace Technology Management,People Operations Fundamentals,Automated procurement and digital workflows reduce traditional office manager tasks. Those who evolve into workplace experience leaders managing hybrid environments and team culture will grow.,42,46,50,55
receptionist,Receptionist,Administrative & Operations,75,High,28000,42000,declining,4,3,Customer Experience & Hospitality,Facility Security & Safety,Administrative Technology Tools,"AI phone systems, digital check-in kiosks, and chatbot receptionists are widespread. Transitioning into facility management, security coordination, or customer experience roles offers more stability.",60,65,70,75
payroll-specialist,Payroll Specialist,Administrative & Operations,72,High,45000,70000,mixed,5,3,HRIS & Payroll System Administration,Compensation Analytics,Multi-State Tax Compliance,"Payroll automation software handles most routine processing. Specialists who master complex multi-state compliance, system integrations, and compensation analytics will remain in demand.",58,63,68,72
procurement-specialist,Procurement Specialist,Administrative & Operations,58,High,55000,90000,stable,4,3,AI Procurement Platforms,Strategic Sourcing & Negotiation,Supply Chain Risk Management,"AI automates purchase orders and vendor comparisons, but strategic sourcing, complex negotiations, and supply chain risk assessment need human judgment and relationship skills.",45,48,53,58
supply-chain-analyst,Supply Chain Analyst,Administrative & Operations,50,Moderate,60000,100000,stable,4,3,AI Supply Chain Optimization Tools,Supply Chain Risk & Resilience,Data Science for Operations,"AI excels at demand forecasting and inventory optimization, but supply chain analysts who manage disruptions, design resilient networks, and plan for sustainability remain essential.",38,42,46,50
logistics-coordinator,Logistics Coordinator,Administrative & Operations,55,High,42000,70000,stable,4,3,"AI Logistics Platforms (Project44, FourKites)",Supply Chain Management Certification,Operations Management,"AI handles routing, tracking, and rate comparison. Logistics coordinators who manage exceptions, build carrier relationships, and solve complex multi-modal transportation challenges add unique value.",42,46,50,55
facilities-manager,Facilities Manager,Administrative & Operations,35,Moderate,60000,100000,stable,4,3,Smart Building Technology (IoT),Sustainability & Energy Management,Workplace Experience Design,"AI sensors and smart building systems automate monitoring, but facilities managers who design workplace experiences, lead sustainability programs, and manage building technology portfolios are growing in importance.",28,30,32,35
physician,Physician,Healthcare,15,Low,200000,400000,rising,4,3,Clinical AI Tool Proficiency,AI-Assisted Diagnostics,Health Informatics,"AI assists with documentation, diagnostics, and drug checks, but physicians who combine clinical judgment with AI tools become more effective — not less needed. The human element of medicine is irreplaceable.",10,12,13,15
nurse,Nurse (RN),Healthcare,18,Low,60000,110000,rising,4,3,Health Informatics & EHR Optimization,Telehealth & Remote Monitoring,Clinical Leadership,"AI reduces documentation burden and flags potential issues, freeing nurses for what matters most — direct patient care. Nursing demand continues to outpace supply significantly.",12,14,16,18
pharmacist,Pharmacist,Healthcare,40,Moderate,120000,160000,mixed,4,3,Clinical Pharmacy Specialization,Pharmacogenomics,AI in Drug Development & Safety,"Automated dispensing and AI interaction checkers handle routine pharmacy tasks. Pharmacists expanding into clinical consultation, medication therapy management, and personalized medicine will flourish.",30,33,37,40
medical-coder,Medical Coder,Healthcare,65,High,40000,70000,mixed,5,3,"AI Medical Coding Tools (3M, Nuance)",Clinical Documentation Improvement,Healthcare Compliance & Auditing,"AI coding engines now assign codes with 90%+ accuracy for common encounters. Coders who specialize in complex cases, audit AI-generated codes, and lead documentation improvement programs will stay relevant.",48,53,60,65
radiologist,Radiologist,Healthcare,45,Moderate,300000,500000,stable,4,3,AI Imaging Tool Proficiency,Interventional Radiology,AI Validation & Clinical Informatics,"AI flags findings and triages urgent cases, but radiologists who interpret complex ambiguous images, perform interventional procedures, and validate AI outputs remain essential to patient safety.",38,40,42,45
healthcare-administrator,Healthcare Administrator,Healthcare,42,Moderate,70000,130000,stable,4,3,Healthcare AI Implementation,Health Informatics Certification,Change Management for Digital Health,"AI optimizes scheduling, billing, and reporting, but healthcare administrators who lead AI implementation, manage regulatory complexity, and improve patient experience are growing in strategic importance.",32,35,38,42
physical-therapist,Physical Therapist,Healthcare,12,Low,75000,110000,rising,4,3,Telehealth & Digital PT Platforms,Wearable Tech & Motion Analysis,Specialized Clinical Certifications,"Physical therapy is inherently hands-on and relationship-based. AI handles documentation and tracking, actually freeing PTs to focus on what they do best — treating patients. Demand is strong and growing.",8,9,10,12
medical-transcriptionist,Medical Transcriptionist,Healthcare,82,Very High,30000,50000,declining,5,3,Clinical Documentation Improvement (CDI),Health Informatics,Medical Coding Certification,"AI speech-to-text has largely replaced manual medical transcription. Transitioning into clinical documentation improvement, health informatics, or medical coding offers a stronger career trajectory.",70,74,78,82
lab-technician,Lab Technician,Healthcare,48,Moderate,45000,70000,stable,4,3,Lab Automation Technology,Molecular Diagnostics,Quality Management Systems,"Automated analyzers and AI handle routine testing, but lab techs who manage automation systems, troubleshoot complex specimens, and validate new testing methods remain essential to clinical labs.",35,40,44,48
mental-health-counselor,Mental Health Counselor,Healthcare,10,Low,45000,85000,rising,4,3,Telehealth Therapy Platforms,AI-Assisted Clinical Tools,"Specialized Therapy Modalities (EMDR, DBT)","Mental health care is fundamentally about human connection. AI chatbots handle surface-level check-ins, but therapy requires empathy, clinical judgment, and trust that AI cannot replicate. Demand is surging.",8,8,9,10
lawyer,Lawyer,Legal,30,Moderate,80000,250000,stable,4,3,"AI Legal Research Tools (Westlaw AI, CoCounsel)",Legal Technology Strategy,AI Law & Regulatory Expertise,"AI accelerates research and drafting, making lawyers more productive — not obsolete. Lawyers who master AI tools and specialize in AI-related law (IP, liability, regulation) are positioned for growth.",22,25,27,30
paralegal,Paralegal,Legal,58,High,45000,80000,stable,5,3,AI Legal Tools & E-Discovery Platforms,Legal Project Management,Specialized Practice Area Knowledge,"AI handles document review and standard research at scale. Paralegals who master legal AI tools, specialize in complex practice areas, and manage technology-driven workflows will remain valuable.",42,48,53,58
legal-secretary,Legal Secretary,Legal,68,High,38000,65000,mixed,5,3,Legal Technology Administration,Legal Project Coordination,Paralegal Certification,"AI handles document formatting, scheduling, and correspondence. Legal secretaries should consider paralegal certification and legal technology specialization to expand their role and career options.",52,58,63,68
contract-reviewer,Contract Reviewer,Legal,70,High,50000,90000,mixed,5,3,"AI Contract Analysis Tools (Kira, Ironclad)",Commercial Law Specialization,Legal Operations & Process Design,"AI contract analysis tools review thousands of contracts in hours. Reviewers who oversee AI output, handle complex non-standard agreements, and inform negotiation strategy will continue to add value.",55,60,65,70
compliance-analyst,Compliance Analyst,Legal,48,Moderate,60000,100000,rising,4,3,AI Governance & Risk Frameworks,RegTech Tools & Automation,Certified Compliance Professional,"AI tracks regulatory changes and generates reports, but compliance analysts who specialize in AI-specific regulations and complex cross-border requirements are entering a high-growth niche.",38,42,45,48
teacher,Teacher (K-12),Education,22,Low,45000,80000,stable,4,3,"AI Teaching Tools (Khan Academy, Diffit)",Differentiated Instruction Methods,EdTech Integration & Digital Literacy,"AI generates lesson plans and grades quizzes, freeing teachers for what matters most — mentoring students, managing classrooms, and providing the human connection young learners need.",16,18,20,22
college-professor,College Professor,Education,25,Low,60000,150000,stable,4,3,AI-Enhanced Research Methods,AI Literacy Curriculum Development,Digital Pedagogy,"AI assists with course materials and grading, but professors who produce original research, facilitate deep learning through discussion, and mentor the next generation are irreplaceable in higher education.",18,20,22,25
corporate-trainer,Corporate Trainer,Education,45,Moderate,55000,95000,stable,4,3,AI Training Program Design,Learning Management Systems (LMS),Change Management Certification,"AI creates training materials and tracks progress, but live facilitation, organizational change leadership, and designing AI upskilling programs are high-value human contributions.",32,36,40,45
instructional-designer,Instructional Designer,Education,48,Moderate,60000,100000,stable,4,3,"AI Course Creation Tools (Synthesia, Articulate)",Learning Science & Experience Design,Immersive Learning Technologies,"AI generates course content and assessments quickly, but instructional designers who apply learning science, design immersive experiences, and align training with business outcomes will stay in demand.",35,38,43,48
academic-advisor,Academic Advisor,Education,38,Moderate,40000,65000,stable,4,3,Student Success Analytics,Career Counseling Methods,Mental Health First Aid,"AI chatbots answer routine questions and check degree requirements. Advisors who focus on student success coaching, career exploration, and at-risk intervention provide the human support students need most.",28,32,35,38
tutor,Tutor,Education,55,High,25000,60000,mixed,5,3,"AI Tutoring Platforms (Khan Academy, Khanmigo)",Learning Disabilities & Differentiation,Executive Function Coaching,"AI tutors like Khanmigo explain concepts 24/7, but human tutors who provide accountability, adapt to emotional needs, and coach executive function skills offer something AI cannot match.",38,42,48,55
graphic-designer,Graphic Designer,Creative,52,High,50000,95000,mixed,5,3,"AI Design Tools (Midjourney, Firefly, Figma AI)",Brand Identity & Design Systems,Motion Design & Animation,"AI generates graphics and variations in seconds, reducing demand for production design. Graphic designers who own brand systems, creative direction, and motion design will remain highly valued.",35,40,46,52
video-editor,Video Editor,Creative,42,Moderate,50000,100000,stable,4,3,"AI Video Tools (Runway, Descript, CapCut)",Motion Graphics & VFX,Storytelling & Narrative Design,"AI handles rough cuts, captions, and color grading, but skilled editors who craft compelling narratives, manage complex projects, and collaborate with clients will continue to command premium rates.",30,34,38,42
photographer,Photographer,Creative,35,Moderate,35000,85000,mixed,4,3,"AI Photo Editing (Lightroom AI, Luminar)",Creative Direction & Art Direction,Video & Multimedia Production,"AI generates stock imagery and handles editing, but photographers who show up in person — for events, portraits, and specialized shoots — provide an experience AI cannot replicate.",25,28,32,35
technical-writer,Technical Writer,Creative,60,High,60000,110000,mixed,5,3,Docs-as-Code & API Documentation,Information Architecture,Developer Experience (DX) Writing,"AI generates documentation from code effectively, but technical writers who design information architecture, improve developer experience, and create strategic content are becoming more valuable.",42,48,54,60
journalist,Journalist,Creative,48,Moderate,40000,90000,mixed,4,3,AI Research & OSINT Tools,Data Journalism & Visualization,Audience Growth & Newsletter Strategy,"AI writes commodity news (earnings, scores, weather), but journalists who do original reporting, investigate stories, and bring unique perspective are more important in an AI-saturated information environment.",35,40,44,48
music-producer,Music Producer,Creative,38,Moderate,40000,120000,stable,4,3,"AI Music Tools (Suno, Udio, Soundraw)",Artist Development & A&R,Live Sound Engineering,"AI generates beats and background music, but producers who shape an artist's sonic vision, engineer live performances, and craft full albums bring creative judgment AI lacks.",28,32,35,38
hr-manager,HR Manager,HR & Recruiting,38,Moderate,70000,130000,stable,4,3,"AI HR Tools (Workday AI, Lattice)",People Analytics & Workforce Planning,AI Governance & Ethics in HR,"AI automates policy lookups and benefits processing, but HR managers who build culture, resolve complex employee situations, and develop AI workforce strategies are more important than ever.",28,32,35,38
recruiter,Recruiter,HR & Recruiting,55,High,50000,110000,mixed,5,3,"AI Sourcing Tools (SeekOut, hireEZ)",Executive & Strategic Recruiting,Employer Branding & Talent Marketing,"AI screens resumes and writes outreach at scale, but recruiters who build genuine candidate relationships, sell opportunities to passive talent, and advise on hiring strategy add irreplaceable value.",40,45,50,55
compensation-analyst,Compensation Analyst,HR & Recruiting,52,High,65000,110000,stable,4,3,"AI Compensation Platforms (Payscale, Pave)",Total Rewards Strategy,People Analytics & Data Science,"AI automates benchmarking and analysis, but compensation analysts who design total rewards strategy, handle executive comp, and ensure pay transparency compliance are in growing demand.",38,42,48,52
training-coordinator,Training Coordinator,HR & Recruiting,48,Moderate,45000,70000,stable,4,3,Learning Management System (LMS) Administration,AI Training Program Design,Training ROI Measurement,"AI handles scheduling, tracking, and survey distribution, but training coordinators who design AI upskilling programs and measure learning ROI position themselves as strategic partners.",35,38,43,48
hr-generalist,HR Generalist,HR & Recruiting,42,Moderate,50000,85000,stable,4,3,HRIS & AI HR Platforms,Employee Relations & Investigations,HR Analytics & Reporting,"AI chatbots answer routine HR questions and manage onboarding checklists. Generalists who focus on employee relations, experience design, and HR technology management will see their roles expand.",30,34,38,42
project-manager,Project Manager,Project & Product Management,35,Moderate,80000,140000,stable,4,3,"AI Project Management Tools (Notion AI, Asana AI)",Agile & SAFe Certification,AI Project Delivery & Implementation,"AI automates status reports, scheduling, and action tracking. Project managers who lead stakeholder alignment, manage risks, and motivate teams through complex programs are more needed, not less.",25,28,32,35
product-manager,Product Manager,Project & Product Management,22,Low,100000,180000,rising,4,3,AI Product Strategy,AI/ML Product Development,Data-Driven Decision Making,"AI gathers data and drafts specs, but product managers who define product vision, make hard prioritization calls, and align organizations around a strategy are among the most AI-resilient roles.",16,18,20,22
scrum-master,Scrum Master,Project & Product Management,40,Moderate,85000,140000,stable,4,3,AI-Enhanced Agile Practices,Team Coaching & Facilitation,SAFe or ICAgile Certification,"AI tracks metrics and generates reports, but Scrum Masters who build psychological safety, coach teams through conflict, and remove organizational impediments bring value that requires human skill.",30,33,37,40
program-manager,Program Manager,Project & Product Management,30,Moderate,100000,170000,stable,4,3,AI Portfolio Management Tools,Strategic Planning & Execution,PgMP or PMP Certification,"AI aggregates status and tracks dependencies, but program managers who align multiple programs to business strategy, manage executive relationships, and mitigate complex risks are deeply valued.",22,25,27,30
